"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0AD50","2019-08-27 00:00:00","84.000","0.000","0.000","26.600","0.990","1002.200","-99.000","18.500","-99.000","-99.000","-99.000","32.800","","26.100",""
"C0G620","2019-08-27 00:00:00","110.000","272.000","1.400","25.500","0.990","998.900","-99.000","6.000","-99.000","-99.000","-99.000","33.700","","24.800",""
"C0V310","2019-08-27 00:00:00","46.000","0.000","0.000","26.100","0.940","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","24.300",""
"C0X110","2019-08-27 00:00:00","20.000","157.000","1.000","28.600","0.940","1008.600","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","27.900",""
"C0S980","2019-08-27 00:00:00","901.000","296.000","1.500","21.800","1.000","913.200","-99.000","6.500","-99.000","-99.000","-99.000","28.100","","21.700",""
"C0O860","2019-08-27 00:00:00","38.000","154.000","1.100","27.000","0.990","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","25.900",""
"C0U950","2019-08-27 00:00:00","1012.000","125.000","9.000","21.300","1.000","903.000","-99.000","3.500","-99.000","-99.000","-99.000","25.800","","20.700",""
"C0R260","2019-08-27 00:00:00","76.000","83.000","0.300","25.700","0.960","1002.000","-99.000","1.000","-99.000","-99.000","-99.000","32.800","","25.700",""
"C0X270","2019-08-27 00:00:00","33.000","0.000","0.000","25.600","1.000","1007.900","-99.000","3.000","-99.000","-99.000","-99.000","32.300","","24.400",""
"C0G880","2019-08-27 00:00:00","92.000","0.000","0.200","26.500","0.930","1001.200","-99.000","4.000","-99.000","-99.000","-99.000","33.100","","24.800",""
"C0R520","2019-08-27 00:00:00","18.000","19.000","1.400","27.100","0.880","1008.300","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","27.100",""
